Category,Names,DQR,Agriculture,Transformation,Packaging,Transportation,Supermarket and distribution,Consumption,Total
Dairy,"Feta cheese, from ewe's milk",2.38,5.11,0.25,0.65,0.26,0.04,0.01,6.30
Nuts,Almond paste or marzipan,2.80,1.42,0.26,0.21,0.26,0.03,0.00,2.18
Dairy,"Mozzarella cheese, from cow's milk",1.78,3.82,0.25,0.35,0.25,0.04,0.01,4.71
Dairy,"Yogurt, Greek-style, plain",1.22,1.03,0.15,0.42,0.25,0.04,0.01,1.89
Dairy,"Brie cheese, from cow's milk",2.22,4.46,0.22,0.21,0.25,0.04,0.01,5.18
Fruit,Blueberry,3.49,0.65,0.00,0.00,0.25,0.02,0.01,0.92
Fruit,Blackberry,4.13,0.70,0.00,0.00,0.25,0.02,0.01,0.97
Legumes,Red kidney bean,2.99,0.50,0.21,0.46,0.25,0.03,0.01,1.45
Vegetable,Celery,2.88,0.44,0.00,0.00,0.25,0.02,0.01,0.72
Vegetable,Spinach,2.58,0.12,0.00,0.00,0.25,0.05,0.01,0.42
Legumes,Blond Lentil,2.87,0.14,0.00,0.13,0.24,0.07,0.00,0.58
Legumes,Red Lentil,2.87,0.14,0.00,0.13,0.24,0.07,0.00,0.58
Legumes,Green Lentil,2.87,0.14,0.00,0.13,0.24,0.07,0.00,0.58
Dairy,"Grana Padano cheese, from cow's milk",2.23,5.19,0.36,0.34,0.24,0.04,0.01,6.17
Dairy,"Parmesan cheese, from cow's milk",1.77,5.23,0.36,0.34,0.24,0.04,0.01,6.21
Vegetable,Broccoli,2.94,0.49,0.12,0.12,0.24,0.07,0.03,1.06
Vegetable,Brussels sprout,2.94,0.25,0.09,0.12,0.23,0.07,0.03,0.78
Dairy,Sheep milk,2.67,1.85,0.00,0.10,0.22,0.02,0.00,2.18
Dairy,Cow Milk,1.20,1.11,0.01,0.10,0.22,0.02,0.00,1.46
Vegetable,Sweet corn,2.52,0.45,0.12,0.12,0.21,0.07,0.03,0.99
Dairy,Goat milk,2.97,1.20,0.00,0.10,0.21,0.01,0.00,1.52
Vegetable,Garden peas,1.76,0.32,0.07,0.12,0.21,0.07,0.03,0.81
Vegetable,Potato,2.26,0.11,0.00,0.45,0.19,0.02,0.01,0.79
Meat,"Egg, raw",2.44,1.49,0.00,0.11,0.19,0.01,0.08,1.88
Nuts,Macadamia nut,2.73,3.07,0.20,0.19,0.18,0.02,0.00,3.66
Nuts,Pecan nut,2.73,3.07,0.20,0.19,0.18,0.02,0.00,3.66
Nuts,Peanut,3.46,3.60,0.20,0.19,0.18,0.02,0.00,4.18
Legumes,Broad bean,2.85,0.51,0.00,0.13,0.15,0.07,0.00,0.86
Legumes,Chick pea,2.71,0.17,0.00,0.13,0.14,0.03,0.14,0.60
