Category,Names,DQR,Agriculture,Transformation,Packaging,Transportation,Supermarket_and_distribution,Consumption,Total,Images
Legumes,Mung Bean,2.95,0.1,0,0.13,0.28,0.07,0,0.57,img/Fig.jpg
Legumes,Red kidney bean,2.99,0.5,0.21,0.46,0.25,0.03,0.01,1.45,img/Fig.jpg
Legumes,Blond Lentil,2.87,0.14,0,0.13,0.24,0.07,0,0.58,img/Fig.jpg
Legumes,Red Lentil,2.87,0.14,0,0.13,0.24,0.07,0,0.58,img/Fig.jpg
Legumes,Green Lentil,2.87,0.14,0,0.13,0.24,0.07,0,0.58,img/Fig.jpg
Legumes,Chick pea,2.71,0.17,0,0.13,0.14,0.03,0.14,0.6,img/Fig.jpg
Nuts,Flaxseed,2.41,0.89,1.48,0.38,0.41,0.05,0.32,3.53,img/Fig.jpg
Nuts,Macadamia nut,2.73,3.07,0.2,0.19,0.18,0.02,0,3.66,img/Fig.jpg
Nuts,Pecan nut,2.73,3.07,0.2,0.19,0.18,0.02,0,3.66,img/Fig.jpg
Nuts,Walnut,2.84,3.07,0,0.38,0.3,0.05,0.32,4.11,img/Fig.jpg
Nuts,Almond paste or marzipan,2.8,1.42,0.26,0.21,0.26,0.03,0,2.18,img/Fig.jpg
Nuts,Tahini (sesame paste),2.52,2.15,0.19,0.21,0.28,0.03,0,2.85,img/Fig.jpg
Nuts,Sunflower seed,2.57,1.8,0.02,0.38,0.35,0.05,0.32,2.91,img/Fig.jpg
Nuts,Almond,3.1,1.87,0.2,0.19,0.36,0.02,0,2.63,img/Fig.jpg
Nuts,Peanut,3.46,3.6,0.2,0.19,0.18,0.02,0,4.18,img/Fig.jpg
Nuts,Cashew nut,3.66,2.65,0.2,0.19,0.5,0.02,0,3.56,img/Fig.jpg
Nuts,Pistachio,4.23,5.83,0,0.38,0.64,0.05,0.32,7.22,img/Fig.jpg
Dairy,Sheep milk,2.67,1.85,0,0.1,0.22,0.02,0,2.18,img/Fig.jpg
Dairy,Goat milk,2.97,1.2,0,0.1,0.21,0.01,0,1.52,img/Fig.jpg
Dairy,Cheddar cheese,1.79,5.31,0.35,0.63,0.27,0.04,0.01,6.59,img/Fig.jpg
Dairy,Cow Milk,1.2,1.11,0.01,0.1,0.22,0.02,0,1.46,img/Fig.jpg
Dairy,Yogurt, Greek-style," plain""",1.22,1.03,0.15,0.42,0.25,0.04,img/Fig.jpg
Dairy,Brie cheese,2.22,4.46,0.22,0.21,0.25,0.04,0.01,5.18,img/Fig.jpg
Dairy,Feta cheese,2.38,5.11,0.25,0.65,0.26,0.04,0.01,6.3,img/Fig.jpg
Dairy,Grana Padano,2.23,5.19,0.36,0.34,0.24,0.04,0.01,6.17,img/Fig.jpg
Dairy,Mozzarella cheese,1.78,3.82,0.25,0.35,0.25,0.04,0.01,4.71,img/Fig.jpg
Dairy,Gouda cheese,2.21,4.99,0.38,0.63,0.27,0.04,0.01,6.3,img/Fig.jpg
Dairy,Parmesan cheese,1.77,5.23,0.36,0.34,0.24,0.04,0.01,6.21,img/Fig.jpg
Dairy,Goat cheese ,2.44,5.99,0.25,0.6,0.27,0.04,0.01,7.14,img/Fig.jpg
Fish,Anchovy,2.73,1.01,0,0.47,0.98,0.04,0.01,2.51,img/Fig.jpg
Fish,Mediterranean bass,2.94,10.7,0,0.47,1.09,0.04,0.01,12.3,img/Fig.jpg
Fish,Haddock,2.93,10.3,0,0.47,1.27,0.04,0.01,12,img/Fig.jpg
Fish,Herring,2.74,1.18,0,0.47,0.98,0.04,0.01,2.68,img/Fig.jpg
Fish,Mackerel,2.74,1.15,0,0.47,0.95,0.04,0.01,2.62,img/Fig.jpg
Fish,Sardine,2.72,0.78,0,0.47,0.98,0.04,0.01,2.28,img/Fig.jpg
Fish,Salmon,2.52,4.16,0.03,0.47,0.85,0.04,0.01,5.55,img/Fig.jpg
Fish,Tuna,2.9,3.61,0,0.47,0.86,0.04,0.01,4.98,img/Fig.jpg
Fish,Rainbow trout,2.93,4.67,0,0.47,0.98,0.04,0.01,6.17,img/Fig.jpg
