Category,Names,DQR,Agriculture,Transformation,Packaging,Transportation,Supermarket and distribution,Consumption,Total, Images
Meat,Goose,2.12,3.75,1.04,0.06,0.32,0.05,0.09,5.31,"""img/Meat/Goose.png"""
Meat,Beef,2.85,28.3,0.12,0.2,0.29,0.04,0.01,28.9,"""img/Meat/Beef.png"""
Meat,Guinea fowl,2.12,3.75,1.04,0.47,0.38,0.05,0.09,5.78,"""img/Meat/Guinea_fowl.png"""
Meat,Pork,2.85,6.06,0,0.2,0.26,0.04,0.01,6.57,"""img/Meat/Pork.png"""
Meat,Mutton,2.97,32.5,0.05,0.2,0.29,0.04,0.01,33.1,"""img/Meat/Mutton.png"""
Meat,Chicken,2.09,3.75,1.09,0.38,0.32,0.04,0.01,5.58,"""img/Meat/Chicken.png"""
Meat,Veal,2.87,22.5,0.11,0.2,0.29,0.04,0.01,23.2,"""img/Meat/Veal.png"""
Legumes,Broad bean,2.85,0.51,0,0.13,0.15,0.07,0,0.86,"""img/Legumes/Broad_bean.png"""
Legumes,Mung Bean,2.95,0.1,0,0.13,0.28,0.07,0,0.57,"""img/Legumes/Mung.png"""
Legumes,Red kidney bean,2.99,0.5,0.21,0.46,0.25,0.03,0.01,1.45,"""img/Legumes/Red_kidney_bean.png"""
Legumes,Blond Lentil,2.87,0.14,0,0.13,0.24,0.07,0,0.58,"""img/Legumes/Blond_Lentil.png"""
Legumes,Red Lentil,2.87,0.14,0,0.13,0.24,0.07,0,0.58,"""img/Legumes/Red_Lentil.png"""
Legumes,Green Lentil,2.87,0.14,0,0.13,0.24,0.07,0,0.58,"""img/Legumes/Green_Lentil.png"""
Legumes,Chick pea,2.71,0.17,0,0.13,0.14,0.03,0.14,0.6,"""img/Legumes/Chick_pea.png"""
Nuts,Flaxseed,2.41,0.89,1.48,0.38,0.41,0.05,0.32,3.53,"""img/Nuts/Flaxseed.png"""
Nuts,Macadamia nut,2.73,3.07,0.2,0.19,0.18,0.02,0,3.66,"""img/Nuts/Macadamia.png"""
Nuts,Pecan nut,2.73,3.07,0.2,0.19,0.18,0.02,0,3.66,"""img/Nuts/Pecan.png"""
Nuts,Walnut,2.84,3.07,0,0.38,0.3,0.05,0.32,4.11,"""img/Nuts/Walnut.png"""
Nuts,Sunflower seed,2.57,1.8,0.02,0.38,0.35,0.05,0.32,2.91,"""img/Nuts/Sunflower_seeds.png"""
Nuts,Almond,3.1,1.87,0.2,0.19,0.36,0.02,0,2.63,"""img/Nuts/Almond.png"""
Nuts,Peanut,3.46,3.6,0.2,0.19,0.18,0.02,0,4.18,"""img/Nuts/Peanut.png"""
Nuts,Cashew nut,3.66,2.65,0.2,0.19,0.5,0.02,0,3.56,"""img/Nuts/Cashew.png"""
Nuts,Pistachio,4.23,5.83,0,0.38,0.64,0.05,0.32,7.22,"""img/Nuts/Pistachio.png"""
Dairy,Sheep milk,2.67,1.85,0,0.1,0.22,0.02,0,2.18,"""img/Dairy/Sheep_milk.png"""
